plate_id,letter,1,2,3,4,5,6,7,8,9,10,11,12
,G,standard15,standard15,standard15,FER2203,FER2203,FER2203,FER2307,FER2307,FER2307,FER2411,FER2411,FER2411
,H,FER2306,FER2306,FER2306,FER2204,FER2204,FER2204,FER2308,FER2308,FER2308,FER2412,FER2412,FER2412
,,,,,,,,,,,,,
WI-UW_21_Plate_2,id,1,2,3,4,5,6,7,8,9,10,11,12
,A,DDI blank,DDI blank,DDI blank,FER6101,FER6101,FER6101,FER6208,FER6208,FER6208,FER6308,FER6308,FER6308
,B,0.005 M,0.005 M,0.005 M,FER6102,FER6102,FER6102,FER6209,FER6209,FER6209,FER6312,FER6312,FER6312
,C,0.01 M,0.01 M,0.01 M,FER6108,FER6108,FER6108,FER6211,FER6211,FER6211,FER6401,FER6401,FER6401
,D,0.015 M,0.015 M,0.015 M,FER6110,FER6110,FER6110,FER6212,FER6212,FER6212,FER6402,FER6402,FER6402
,E,0.2 mM,0.2 mM,0.2 mM,FER6111,FER6111,FER6111,FER6302,FER6302,FER6302,FER6408,FER6408,FER6408
,F,0.01 mM redo,0.01 mM redo,0.01 mM redo,FER6112,FER6112,FER6112,FER6304,FER6304,FER6304,FER6409,FER6409,FER6409
,G,standard16,standard16,standard16,FER6202,FER6202,FER6202,FER6305,FER6305,FER6305,FER6411,FER6411,FER6411
,H,FER6112,FER6112,FER6112,FER6203,FER6203,FER6203,FER6307,FER6307,FER6307,FER6412,FER6412,FER6412
